Month,Channel,Visitors,Leads,Qualified_Leads,Customers,Revenue,Marketing_Spend
Jan,Facebook Ads,15000,3200,1800,450,90000,25000
Jan,Google Ads,18000,4000,2200,600,120000,30000
Jan,Instagram,12000,2500,1400,320,65000,18000
Jan,LinkedIn,8000,1800,1200,350,85000,15000
Feb,Facebook Ads,16000,3400,1900,500,100000,26000
Feb,Google Ads,19000,4200,2400,650,130000,32000
Feb,Instagram,13000,2700,1500,350,70000,19000
Feb,LinkedIn,8500,1900,1300,380,92000,16000
Mar,Facebook Ads,17000,3600,2000,550,110000,27000
Mar,Google Ads,20000,4500,2600,700,140000,33000
Mar,Instagram,14000,2900,1700,400,80000,20000
Mar,LinkedIn,9000,2100,1400,420,100000,17000
